<<<<<<< HEAD
Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,AUT,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8877067.0
Belgium,BEL,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,11484055.0
Bulgaria,BGR,7658972.0,7601022.0,7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0
Croatia,HRV,4310145.0,4311159.0,4310217.0,4309705.0,4305181.0,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,4067500.0
Cyprus,CYP,1027662.0,1045507.0,1063713.0,1081563.0,1098083.0,1112612.0,1124833.0,1135046.0,1143866.0,1152285.0,1160985.0,1170187.0,1179680.0,1189265.0,1198575.0
Czech Republic,CZE,10211216.0,10238905.0,10298828.0,10384603.0,10443936.0,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,10629928.0,10669709.0
Denmark,DNK,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,5818553.0
Estonia,EST,1354775.0,1346810.0,1340680.0,1337090.0,1334515.0,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,1326590.0
Finland,FIN,5246096.0,5266268.0,5288720.0,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,5520314.0
France,FRA,63179351.0,63621381.0,64016225.0,64374984.0,64707040.0,65027507.0,65342780.0,65659809.0,65998687.0,66312067.0,66548272.0,66724104.0,66864379.0,66965912.0,67059887.0
Germany,DEU,82469422.0,82376451.0,82266372.0,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,83132799.0
Greece,GRC,10987314.0,11020362.0,11048473.0,11077841.0,11107017.0,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0,10716322.0
Hungary,HUN,10087065.0,10071370.0,10055780.0,10038188.0,10022650.0,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0,9769949.0
Ireland,IRL,4159914.0,4273591.0,4398942.0,4489544.0,4535375.0,4560155.0,4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4867316.0,4941444.0
Italy,ITA,57969484.0,58143979.0,58438310.0,58826731.0,59095365.0,59277417.0,59379449.0,59539717.0,60233948.0,60789140.0,60730582.0,60627498.0,60536709.0,60421760.0,60297396.0
Latvia,LVA,2238799.0,2218357.0,2200325.0,2177322.0,2141669.0,2097555.0,2059709.0,2034319.0,2012647.0,1993782.0,1977527.0,1959537.0,1942248.0,1927174.0,1912789.0
Lithuania,LTU,3322528.0,3269909.0,3231294.0,3198231.0,3162916.0,3097282.0,3028115.0,2987773.0,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,2801543.0,2786844.0
Luxembourg,LUX,465158.0,472637.0,479993.0,488650.0,497783.0,506953.0,518347.0,530946.0,543360.0,556319.0,569604.0,582014.0,596336.0,607950.0,619896.0
Malta,MLT,403834.0,405308.0,406724.0,409379.0,412477.0,414508.0,416268.0,420028.0,425967.0,434558.0,445053.0,455356.0,467999.0,484630.0,502653.0
Netherlands,NLD,16319868.0,16346101.0,16381696.0,16445593.0,16530388.0,16615394.0,16693074.0,16754962.0,16804432.0,16865008.0,16939923.0,17030314.0,17131296.0,17231624.0,17332850.0
Poland,POL,38165445.0,38141267.0,38120560.0,38125759.0,38151603.0,38042794.0,38063255.0,38063164.0,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,37974750.0,37970874.0
Portugal,PRT,10503330.0,10522288.0,10542964.0,10558177.0,10568247.0,10573100.0,10557560.0,10514844.0,10457295.0,10401062.0,10358076.0,10325452.0,10300300.0,10283822.0,10269417.0
Romania,ROU,21319685.0,21193760.0,20882982.0,20537875.0,20367487.0,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,19815616.0,19702267.0,19587290.0,19472545.0,19356544.0
Slovak Republic,SVK,5372807.0,5373054.0,5374622.0,5379233.0,5386406.0,5391428.0,5398384.0,5407579.0,5413393.0,5418649.0,5423801.0,5430798.0,5439232.0,5446771.0,5454073.0
Slovenia,SVN,2000474.0,2006868.0,2018122.0,2021316.0,2039669.0,2048583.0,2052843.0,2057159.0,2059953.0,2061980.0,2063531.0,2065042.0,2066388.0,2073894.0,2087946.0
Spain,ESP,43653155.0,44397319.0,45226803.0,45954106.0,46362946.0,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0,47076781.0
Sweden,SWE,9029572.0,9080505.0,9148092.0,9219637.0,9298515.0,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,10175214.0,10285453.0
=======
country_name,country_code,pop_year,Population
Bulgaria,BGR,2011,7348328
Bulgaria,BGR,2007,7545338
Bulgaria,BGR,2014,7223938
Bulgaria,BGR,2010,7395599
Bulgaria,BGR,2016,7127822
Bulgaria,BGR,2009,7444443
Bulgaria,BGR,2019,6975761
Bulgaria,BGR,2006,7601022
Cabo Verde,CPV,2011,498856
Cabo Verde,CPV,2015,524743
Cabo Verde,CPV,2017,537497
Cabo Verde,CPV,2013,511748
Cabo Verde,CPV,2016,531146
Cabo Verde,CPV,2009,486671
Cabo Verde,CPV,2007,475060
Cabo Verde,CPV,2008,480842
Cabo Verde,CPV,2018,543767
Cabo Verde,CPV,2006,469170
Cabo Verde,CPV,2012,505235
Cabo Verde,CPV,2010,492654
Cabo Verde,CPV,2014,518269
Cabo Verde,CPV,2005,463032
Cabo Verde,CPV,2020,
Cabo Verde,CPV,2019,549935
Comoros,COM,2014,759390
Comoros,COM,2017,813892
Comoros,COM,2013,741505
Comoros,COM,2009,673252
Comoros,COM,2012,723871
Comoros,COM,2007,641620
Comoros,COM,2015,777424
Comoros,COM,2016,795592
Comoros,COM,2018,832322
Comoros,COM,2005,611627
Comoros,COM,2020,
Comoros,COM,2019,850886
Comoros,COM,2010,689692
Comoros,COM,2006,626425
Comoros,COM,2011,706569
Comoros,COM,2008,657229
Costa Rica,CRI,2014,4795396
Costa Rica,CRI,2018,4999441
Costa Rica,CRI,2011,4633086
Costa Rica,CRI,2008,4463125
Costa Rica,CRI,2006,4345412
Costa Rica,CRI,2009,4520740
Costa Rica,CRI,2016,4899345
Costa Rica,CRI,2005,4285502
Costa Rica,CRI,2013,4742107
Costa Rica,CRI,2019,5047561
Costa Rica,CRI,2017,4949954
Costa Rica,CRI,2012,4688000
Costa Rica,CRI,2015,4847804
Costa Rica,CRI,2010,4577378
Costa Rica,CRI,2020,
Costa Rica,CRI,2007,4404628
Croatia,HRV,2009,4305181
Croatia,HRV,2010,4295427
Croatia,HRV,2020,
Croatia,HRV,2011,4280622
Croatia,HRV,2006,4311159
Croatia,HRV,2014,4238389
Croatia,HRV,2016,4174349
Croatia,HRV,2015,4203604
Croatia,HRV,2005,4310145
Croatia,HRV,2019,4067500
Croatia,HRV,2013,4255689
Croatia,HRV,2018,4087843
Croatia,HRV,2017,4124531
Croatia,HRV,2012,4267558
Croatia,HRV,2008,4309705
Croatia,HRV,2007,4310217
Cuba,CUB,2019,11333483
Cuba,CUB,2008,11236971
Cuba,CUB,2015,11324781
Cuba,CUB,2005,11261582
Cuba,CUB,2007,11251122
Cuba,CUB,2014,11306902
Cuba,CUB,2006,11261248
Cuba,CUB,2010,11225832
Cuba,CUB,2012,11257101
Cuba,CUB,2018,11338138
Cuba,CUB,2011,11236670
Cuba,CUB,2009,11226709
Cuba,CUB,2020,
Cuba,CUB,2017,11339259
Cuba,CUB,2016,11335109
Cuba,CUB,2013,11282720
Curacao,CUW,2018,159800
Curacao,CUW,2010,148703
Curacao,CUW,2009,146833
Curacao,CUW,2014,155909
Curacao,CUW,2006,141239
Curacao,CUW,2013,153822
Curacao,CUW,2016,159664
Curacao,CUW,2007,144056
Curacao,CUW,2015,157980
Curacao,CUW,2020,
Curacao,CUW,2005,137658
Curacao,CUW,2011,150831
Curacao,CUW,2019,157538
Curacao,CUW,2017,160175
Curacao,CUW,2008,145880
Curacao,CUW,2012,152088
Cyprus,CYP,2017,1179680
Cyprus,CYP,2020,
Cyprus,CYP,2015,1160985
Cyprus,CYP,2010,1112612
Cyprus,CYP,2011,1124833
Cyprus,CYP,2009,1098083
Cyprus,CYP,2014,1152285
Cyprus,CYP,2006,1045507
Cyprus,CYP,2016,1170187
Cyprus,CYP,2007,1063713
Cyprus,CYP,2005,1027662
Cyprus,CYP,2019,1198575
Cyprus,CYP,2018,1189265
Cyprus,CYP,2012,1135046
Cyprus,CYP,2008,1081563
Cyprus,CYP,2013,1143866
Czech Republic,CZE,2011,10496088
Czech Republic,CZE,2016,10566332
Czech Republic,CZE,2012,10510785
Czech Republic,CZE,2017,10594438
Czech Republic,CZE,2018,10629928
Czech Republic,CZE,2008,10384603
Czech Republic,CZE,2013,10514272
Czech Republic,CZE,2010,10474410
Czech Republic,CZE,2005,10211216
Czech Republic,CZE,2020,
Czech Republic,CZE,2007,10298828
Czech Republic,CZE,2019,10669709
Czech Republic,CZE,2006,10238905
Czech Republic,CZE,2014,10525347
Czech Republic,CZE,2015,10546059
Czech Republic,CZE,2009,10443936
Denmark,DNK,2016,5728010
Denmark,DNK,2017,5764980
Denmark,DNK,2010,5547683
Denmark,DNK,2007,5461438
Denmark,DNK,2019,5818553
Denmark,DNK,2012,5591572
Denmark,DNK,2009,5523095
Denmark,DNK,2014,5643475
Denmark,DNK,2005,5419432
Denmark,DNK,2011,5570572
Denmark,DNK,2020,
Denmark,DNK,2006,5437272
Denmark,DNK,2008,5493621
Denmark,DNK,2013,5614932
Denmark,DNK,2015,5683483
Denmark,DNK,2018,5793636
Dominica,DMA,2018,71625
Dominica,DMA,2015,71183
Dominica,DMA,2012,70965
Dominica,DMA,2008,70827
Dominica,DMA,2019,71808
Dominica,DMA,2005,70589
Dominica,DMA,2011,70916
Dominica,DMA,2013,71016
Dominica,DMA,2010,70878
Dominica,DMA,2006,70718
Dominica,DMA,2020,
Dominica,DMA,2016,71307
Dominica,DMA,2014,71085
Dominica,DMA,2009,70851
Dominica,DMA,2007,70795
Dominica,DMA,2017,71458
Estonia,EST,2011,1327439
Estonia,EST,2007,1340680
Estonia,EST,2016,1315790
Estonia,EST,2014,1314545
Estonia,EST,2006,1346810
Estonia,EST,2019,1326590
Estonia,EST,2005,1354775
Estonia,EST,2010,1331475
Estonia,EST,2015,1315407
Estonia,EST,2020,
Estonia,EST,2013,1317997
Estonia,EST,2009,1334515
Estonia,EST,2012,1322696
Estonia,EST,2018,1321977
Estonia,EST,2017,1317384
Estonia,EST,2008,1337090
Finland,FIN,2008,5313399
Finland,FIN,2005,5246096
Finland,FIN,2010,5363352
Finland,FIN,2014,5461512
Finland,FIN,2020,
Finland,FIN,2009,5338871
Finland,FIN,2006,5266268
Finland,FIN,2017,5508214
Finland,FIN,2016,5495303
Finland,FIN,2018,5515525
Finland,FIN,2012,5413971
Finland,FIN,2007,5288720
Finland,FIN,2019,5520314
Finland,FIN,2013,5438972
Finland,FIN,2011,5388272
Finland,FIN,2015,5479531
France,FRA,2013,65998687
France,FRA,2015,66548272
France,FRA,2005,63179351
France,FRA,2014,66312067
France,FRA,2012,65659809
France,FRA,2016,66724104
France,FRA,2006,63621381
France,FRA,2018,66965912
France,FRA,2010,65027507
France,FRA,2020,
France,FRA,2009,64707040
France,FRA,2011,65342780
France,FRA,2008,64374984
France,FRA,2007,64016225
France,FRA,2017,66864379
France,FRA,2019,67059887
Germany,DEU,2007,82266372
Germany,DEU,2016,82348669
Germany,DEU,2010,81776930
Germany,DEU,2005,82469422
Germany,DEU,2017,82657002
Germany,DEU,2006,82376451
Germany,DEU,2009,81902307
Germany,DEU,2011,80274983
Germany,DEU,2012,80425823
Germany,DEU,2014,80982500
Germany,DEU,2020,
Germany,DEU,2013,80645605
Germany,DEU,2015,81686611
Germany,DEU,2019,83132799
Germany,DEU,2008,82110097
Germany,DEU,2018,82905782
Gibraltar,GIB,2007,33517
Gibraltar,GIB,2010,33585
Gibraltar,GIB,2006,33417
Gibraltar,GIB,2020,
Gibraltar,GIB,2017,33728
Gibraltar,GIB,2009,33565
Gibraltar,GIB,2008,33559
Gibraltar,GIB,2015,33736
Gibraltar,GIB,2013,33692
Gibraltar,GIB,2018,33718
Gibraltar,GIB,2014,33725
Gibraltar,GIB,2019,33701
Gibraltar,GIB,2016,33737
Gibraltar,GIB,2011,33612
Gibraltar,GIB,2012,33646
Gibraltar,GIB,2005,33219
Greece,GRC,2009,11107017
Greece,GRC,2008,11077841
Greece,GRC,2011,11104899
Greece,GRC,2016,10775971
Greece,GRC,2020,
Greece,GRC,2018,10732882
Greece,GRC,2012,11045011
Greece,GRC,2013,10965211
Greece,GRC,2014,10892413
Greece,GRC,2019,10716322
Greece,GRC,2005,10987314
Greece,GRC,2007,11048473
Greece,GRC,2006,11020362
Greece,GRC,2015,10820883
Greece,GRC,2017,10754679
Greece,GRC,2010,11121341
Greenland,GRL,2019,56225
Greenland,GRL,2009,56323
Greenland,GRL,2011,56890
Greenland,GRL,2018,56023
Greenland,GRL,2015,56114
Greenland,GRL,2007,56555
Greenland,GRL,2016,56186
Greenland,GRL,2008,56328
Greenland,GRL,2013,56483
Greenland,GRL,2005,56935
Greenland,GRL,2010,56905
Greenland,GRL,2014,56295
Greenland,GRL,2017,56172
Greenland,GRL,2012,56810
Greenland,GRL,2006,56774
Greenland,GRL,2020,
Grenada,GRD,2010,106233
Grenada,GRD,2019,112003
Grenada,GRD,2006,104933
Grenada,GRD,2015,109599
Grenada,GRD,2013,108170
Grenada,GRD,2012,107446
Grenada,GRD,2017,110874
Grenada,GRD,2014,108902
Grenada,GRD,2020,
Grenada,GRD,2007,105190
Grenada,GRD,2011,106796
Grenada,GRD,2016,110261
Grenada,GRD,2005,104661
Grenada,GRD,2008,105456
Grenada,GRD,2009,105789
Grenada,GRD,2018,111454
Hungary,HUN,2011,9971727
Hungary,HUN,2012,9920362
Hungary,HUN,2007,10055780
Hungary,HUN,2008,10038188
Hungary,HUN,2010,10000023
Hungary,HUN,2013,9893082
Hungary,HUN,2020,
Hungary,HUN,2009,10022650
Hungary,HUN,2019,9769949
Hungary,HUN,2017,9787966
Hungary,HUN,2018,9775564
Hungary,HUN,2006,10071370
Hungary,HUN,2005,10087065
Hungary,HUN,2016,9814023
Hungary,HUN,2014,9866468
Hungary,HUN,2015,9843028
Iceland,ISL,2016,335439
Iceland,ISL,2019,361313
Iceland,ISL,2014,327386
Iceland,ISL,2007,311566
Iceland,ISL,2006,303782
Iceland,ISL,2020,
Iceland,ISL,2012,320716
Iceland,ISL,2011,319014
Iceland,ISL,2017,343400
Iceland,ISL,2009,318499
Iceland,ISL,2005,296734
Iceland,ISL,2013,323764
Iceland,ISL,2015,330815
Iceland,ISL,2018,352721
Iceland,ISL,2010,318041
Iceland,ISL,2008,317414
Ireland,IRL,2008,4489544
Ireland,IRL,2020,
Ireland,IRL,2014,4657740
Ireland,IRL,2005,4159914
Ireland,IRL,2011,4580084
Ireland,IRL,2019,4941444
Ireland,IRL,2018,4867316
Ireland,IRL,2009,4535375
Ireland,IRL,2016,4755335
Ireland,IRL,2007,4398942
Ireland,IRL,2017,4807388
Ireland,IRL,2010,4560155
Ireland,IRL,2015,4701957
Ireland,IRL,2012,4599533
Ireland,IRL,2013,4623816
Ireland,IRL,2006,4273591
Italy,ITA,2014,60789140
Italy,ITA,2010,59277417
Italy,ITA,2017,60536709
Italy,ITA,2008,58826731
Italy,ITA,2007,58438310
Italy,ITA,2005,57969484
Italy,ITA,2018,60421760
Italy,ITA,2006,58143979
Italy,ITA,2019,60297396
Italy,ITA,2011,59379449
Italy,ITA,2013,60233948
Italy,ITA,2015,60730582
Italy,ITA,2016,60627498
Italy,ITA,2012,59539717
Italy,ITA,2009,59095365
Italy,ITA,2020,
Kosovo,XKX,2017,1791003
Kosovo,XKX,2016,1777557
Kosovo,XKX,2018,1797085
Kosovo,XKX,2019,1794248
Kosovo,XKX,2015,1788196
Kosovo,XKX,2014,1812771
Kosovo,XKX,2012,1807106
Kosovo,XKX,2020,
Kosovo,XKX,2008,1747383
Kosovo,XKX,2009,1761474
Kosovo,XKX,2010,1775680
Kosovo,XKX,2006,1719536
