Country Name,Country Code,Year,Unemployment
Latvia,LVA,2008,7.74
Lithuania,LTU,2008,5.83
Luxembourg,LUX,2008,5.06
Malta,MLT,2008,5.98
Netherlands,NLD,2008,3.65
Poland,POL,2008,7.12
Portugal,PRT,2008,7.55
Romania,ROU,2008,5.79
Slovak Republic,SVK,2008,9.51
Slovenia,SVN,2008,4.37
Spain,ESP,2008,11.25
Sweden,SWE,2008,6.24
Austria,AUT,2009,5.3
Belgium,BEL,2009,7.91
Bulgaria,BGR,2009,6.82
Croatia,HRV,2009,9.2
Cyprus,CYP,2009,5.36
Czech Republic,CZE,2009,6.66
Denmark,DNK,2009,6.41
Estonia,EST,2009,13.55
Finland,FIN,2009,8.25
France,FRA,2009,8.74
Germany,DEU,2009,7.74
Greece,GRC,2009,9.62
Hungary,HUN,2009,10.03
Ireland,IRL,2009,12.61
Italy,ITA,2009,7.75
Latvia,LVA,2009,17.52
Lithuania,LTU,2009,13.79
Luxembourg,LUX,2009,5.12
Malta,MLT,2009,6.89
Netherlands,NLD,2009,4.35
Poland,POL,2009,8.17
Portugal,PRT,2009,9.43
Romania,ROU,2009,6.86
Slovak Republic,SVK,2009,12.03
Slovenia,SVN,2009,5.86
Spain,ESP,2009,17.86
Sweden,SWE,2009,8.35
Austria,AUT,2010,4.82
Belgium,BEL,2010,8.29
Bulgaria,BGR,2010,10.28
Croatia,HRV,2010,11.62
Cyprus,CYP,2010,6.26
Czech Republic,CZE,2010,7.28
Denmark,DNK,2010,7.75
Estonia,EST,2010,16.71
Finland,FIN,2010,8.39
France,FRA,2010,8.87
Germany,DEU,2010,6.97
Greece,GRC,2010,12.71
Hungary,HUN,2010,11.17
Ireland,IRL,2010,14.53
Italy,ITA,2010,8.36
Latvia,LVA,2010,19.48
Lithuania,LTU,2010,17.81
Luxembourg,LUX,2010,4.36
Malta,MLT,2010,6.85
Netherlands,NLD,2010,4.99
Poland,POL,2010,9.64
Portugal,PRT,2010,10.77
Romania,ROU,2010,6.96
Slovak Republic,SVK,2010,14.38
Slovenia,SVN,2010,7.24
Spain,ESP,2010,19.86
Sweden,SWE,2010,8.61
Austria,AUT,2011,4.56
Belgium,BEL,2011,7.14
Bulgaria,BGR,2011,11.26
Croatia,HRV,2011,13.68
Cyprus,CYP,2011,7.86
Czech Republic,CZE,2011,6.71
Denmark,DNK,2011,7.77
Estonia,EST,2011,12.33
Finland,FIN,2011,7.78
France,FRA,2011,8.81
Germany,DEU,2011,5.82
Greece,GRC,2011,17.87
Hungary,HUN,2011,11.03
Ireland,IRL,2011,15.35
Italy,ITA,2011,8.36
Latvia,LVA,2011,16.21
Lithuania,LTU,2011,15.39
Luxembourg,LUX,2011,4.9
Malta,MLT,2011,6.38
Netherlands,NLD,2011,4.98
Poland,POL,2011,9.63
Portugal,PRT,2011,12.68
Romania,ROU,2011,7.18
Slovak Republic,SVK,2011,13.62
Slovenia,SVN,2011,8.17
Spain,ESP,2011,21.39
Sweden,SWE,2011,7.8
Austria,AUT,2012,4.87
Belgium,BEL,2012,7.54
Bulgaria,BGR,2012,12.27
Croatia,HRV,2012,15.94
Cyprus,CYP,2012,11.8
Czech Republic,CZE,2012,6.98
Denmark,DNK,2012,7.8
Estonia,EST,2012,10.02
Finland,FIN,2012,7.69
France,FRA,2012,9.4
Germany,DEU,2012,5.38
Greece,GRC,2012,24.44
Hungary,HUN,2012,11.0
Ireland,IRL,2012,15.45
Italy,ITA,2012,10.66
Latvia,LVA,2012,15.05
Lithuania,LTU,2012,13.37
Luxembourg,LUX,2012,5.14
Malta,MLT,2012,6.2
Netherlands,NLD,2012,5.82
Poland,POL,2012,10.09
Portugal,PRT,2012,15.53
Romania,ROU,2012,6.79
Slovak Republic,SVK,2012,13.96
Slovenia,SVN,2012,8.84
Spain,ESP,2012,24.79
Sweden,SWE,2012,7.98
Austria,AUT,2013,5.34
Belgium,BEL,2013,8.43
Bulgaria,BGR,2013,12.94
Croatia,HRV,2013,17.25
Cyprus,CYP,2013,15.87
Czech Republic,CZE,2013,6.95
Denmark,DNK,2013,7.38
Estonia,EST,2013,8.63
Finland,FIN,2013,8.19
France,FRA,2013,9.92
Germany,DEU,2013,5.23
Greece,GRC,2013,27.47
Hungary,HUN,2013,10.18
Ireland,IRL,2013,13.74
Italy,ITA,2013,12.15
Latvia,LVA,2013,11.87
Lithuania,LTU,2013,11.77
Luxembourg,LUX,2013,5.85
Malta,MLT,2013,6.11
Netherlands,NLD,2013,7.24
Poland,POL,2013,10.33
Portugal,PRT,2013,16.18
Romania,ROU,2013,7.1
Slovak Republic,SVK,2013,14.22
Slovenia,SVN,2013,10.1
Spain,ESP,2013,26.09
Sweden,SWE,2013,8.05
Austria,AUT,2014,5.62
Belgium,BEL,2014,8.52
Bulgaria,BGR,2014,11.42
Croatia,HRV,2014,17.29
Cyprus,CYP,2014,16.09
Czech Republic,CZE,2014,6.11
Denmark,DNK,2014,6.93
Estonia,EST,2014,7.35
Finland,FIN,2014,8.66
France,FRA,2014,10.29
Germany,DEU,2014,4.98
Greece,GRC,2014,26.49
Hungary,HUN,2014,7.73
Ireland,IRL,2014,11.86
Italy,ITA,2014,12.68
Latvia,LVA,2014,10.85
Lithuania,LTU,2014,10.7
Luxembourg,LUX,2014,5.85
Malta,MLT,2014,5.73
Netherlands,NLD,2014,7.42
Poland,POL,2014,8.99
Portugal,PRT,2014,13.89
Romania,ROU,2014,6.8
Slovak Republic,SVK,2014,13.18
Slovenia,SVN,2014,9.67
Spain,ESP,2014,24.44
Sweden,SWE,2014,7.95
Austria,AUT,2015,5.72
Belgium,BEL,2015,8.48
Bulgaria,BGR,2015,9.14
Croatia,HRV,2015,16.18
Cyprus,CYP,2015,14.91
Czech Republic,CZE,2015,5.05
Denmark,DNK,2015,6.28
Estonia,EST,2015,6.19
Finland,FIN,2015,9.38
France,FRA,2015,10.35
Germany,DEU,2015,4.62
Greece,GRC,2015,24.9
Hungary,HUN,2015,6.81
Ireland,IRL,2015,9.91
Italy,ITA,2015,11.9
Latvia,LVA,2015,9.87
Lithuania,LTU,2015,9.12
Luxembourg,LUX,2015,6.67
Malta,MLT,2015,5.38
Netherlands,NLD,2015,6.87
Poland,POL,2015,7.5
Portugal,PRT,2015,12.44
Romania,ROU,2015,6.81
Slovak Republic,SVK,2015,11.48
Slovenia,SVN,2015,8.96
Spain,ESP,2015,22.06
Sweden,SWE,2015,7.43
Austria,AUT,2016,6.01
Belgium,BEL,2016,7.83
Bulgaria,BGR,2016,7.58
Croatia,HRV,2016,13.1
Cyprus,CYP,2016,12.95
Czech Republic,CZE,2016,3.95
Denmark,DNK,2016,5.99
Estonia,EST,2016,6.76
Finland,FIN,2016,8.82
France,FRA,2016,10.04
Germany,DEU,2016,4.12
Greece,GRC,2016,23.54
Hungary,HUN,2016,5.12
Ireland,IRL,2016,8.37
Italy,ITA,2016,11.69
Latvia,LVA,2016,9.64
Lithuania,LTU,2016,7.86
Luxembourg,LUX,2016,6.29
Malta,MLT,2016,4.69
Netherlands,NLD,2016,6.01
Poland,POL,2016,6.16
Portugal,PRT,2016,11.07
Romania,ROU,2016,5.9
Slovak Republic,SVK,2016,9.67
Slovenia,SVN,2016,8.0
Spain,ESP,2016,19.64
Sweden,SWE,2016,6.99
Austria,AUT,2017,5.5
Belgium,BEL,2017,7.09
Bulgaria,BGR,2017,6.16
Croatia,HRV,2017,11.21
Cyprus,CYP,2017,11.05
Czech Republic,CZE,2017,2.89
Denmark,DNK,2017,5.83
Estonia,EST,2017,5.76
Finland,FIN,2017,8.64
France,FRA,2017,9.41
Germany,DEU,2017,3.75
Greece,GRC,2017,21.49
Hungary,HUN,2017,4.16
Ireland,IRL,2017,6.71
Italy,ITA,2017,11.21
Latvia,LVA,2017,8.72
Lithuania,LTU,2017,7.07
Luxembourg,LUX,2017,5.52
Malta,MLT,2017,4.0
Netherlands,NLD,2017,4.84
Poland,POL,2017,4.89
Portugal,PRT,2017,8.87
Romania,ROU,2017,4.93
Slovak Republic,SVK,2017,8.13
Slovenia,SVN,2017,6.56
Spain,ESP,2017,17.22
Sweden,SWE,2017,6.72
Austria,AUT,2018,4.85
Belgium,BEL,2018,5.95
Bulgaria,BGR,2018,5.21
Croatia,HRV,2018,8.43
Cyprus,CYP,2018,8.37
Czech Republic,CZE,2018,2.24
Denmark,DNK,2018,5.13
Estonia,EST,2018,5.37
Finland,FIN,2018,7.36
France,FRA,2018,9.02
Germany,DEU,2018,3.38
Greece,GRC,2018,19.29
Hungary,HUN,2018,3.71
Ireland,IRL,2018,5.74
Italy,ITA,2018,10.61
Latvia,LVA,2018,7.41
Lithuania,LTU,2018,6.15
Luxembourg,LUX,2018,5.59
Malta,MLT,2018,3.66
Netherlands,NLD,2018,3.83
Poland,POL,2018,3.85
Portugal,PRT,2018,6.99
Romania,ROU,2018,4.19
Slovak Republic,SVK,2018,6.54
Slovenia,SVN,2018,5.11
Spain,ESP,2018,15.26
Sweden,SWE,2018,6.37
Austria,AUT,2019,4.49
Belgium,BEL,2019,5.36
Bulgaria,BGR,2019,4.23
Croatia,HRV,2019,6.62
Cyprus,CYP,2019,7.07
Czech Republic,CZE,2019,2.01
Denmark,DNK,2019,5.02
Estonia,EST,2019,4.45
Finland,FIN,2019,6.7
France,FRA,2019,8.44
Germany,DEU,2019,3.14
Greece,GRC,2019,17.31
Hungary,HUN,2019,3.42
Ireland,IRL,2019,4.95
Italy,ITA,2019,9.95
Latvia,LVA,2019,6.31
Lithuania,LTU,2019,6.26
Luxembourg,LUX,2019,5.6
Malta,MLT,2019,3.4
Netherlands,NLD,2019,3.38
Poland,POL,2019,3.28
Portugal,PRT,2019,6.46
Romania,ROU,2019,3.91
Slovak Republic,SVK,2019,5.75
Slovenia,SVN,2019,4.45
Spain,ESP,2019,14.1
Sweden,SWE,2019,6.83
